Species,Weight,Length1,Length2,Length3,Height,Width,class
Bream,242,23.2,25.4,30,11.52,4.02,1
Bream,290,24,26.3,31.2,12.48,4.3056,1
Bream,340,23.9,26.5,31.1,12.3778,4.6961,1
Bream,363,26.3,29,33.5,12.73,4.4555,1
Bream,430,26.5,29,34,12.444,5.134,1
Bream,450,26.8,29.7,34.7,13.6024,4.9274,1
Bream,500,26.8,29.7,34.5,14.1795,5.2785,1
Bream,390,27.6,30,35,12.67,4.69,1
Bream,450,27.6,30,35.1,14.0049,4.8438,1
Bream,500,28.5,30.7,36.2,14.2266,4.9594,1
Roach,40,12.9,14.1,16.2,4.1472,2.268,2
Roach,69,16.5,18.2,20.3,5.2983,2.8217,2
Roach,78,17.5,18.8,21.2,5.5756,2.9044,2
Roach,87,18.2,19.8,22.2,5.6166,3.1746,2
Roach,120,18.6,20,22.2,6.216,3.5742,2
Roach,0,19,20.5,22.8,6.4752,3.3516,2
Roach,110,19.1,20.8,23.1,6.1677,3.3957,2
Roach,120,19.4,21,23.7,6.1146,3.2943,2
Roach,150,20.4,22,24.7,5.8045,3.7544,2
Roach,145,20.5,22,24.3,6.6339,3.5478,2
Perch,5.9,7.5,8.4,8.8,2.112,1.408,3
Perch,32,12.5,13.7,14.7,3.528,1.9992,3
Perch,40,13.8,15,16,3.824,2.432,3
Perch,51.5,15,16.2,17.2,4.5924,2.6316,3
Perch,70,15.7,17.4,18.5,4.588,2.9415,3
Perch,100,16.2,18,19.2,5.2224,3.3216,3
Perch,78,16.8,18.7,19.4,5.1992,3.1234,3
Perch,80,17.2,19,20.2,5.6358,3.0502,3
Perch,85,17.8,19.6,20.8,5.1376,3.0368,3
Perch,85,18.2,20,21,5.082,2.772,3
Pike,200,30,32.3,34.8,5.568,3.3756,4
Pike,300,31.7,34,37.8,5.7078,4.158,4
Pike,300,32.7,35,38.8,5.9364,4.3844,4
Pike,300,34.8,37.3,39.8,6.2884,4.0198,4
Pike,430,35.5,38,40.5,7.29,4.5765,4
Pike,345,36,38.5,41,6.396,3.977,4
Pike,456,40,42.5,45.5,7.28,4.3225,4
Pike,510,40,42.5,45.5,6.825,4.459,4
Pike,540,40.1,43,45.8,7.786,5.1296,4
Pike,500,42,45,48,6.96,4.896,4
