Entity,Year,Deaths,GDP_per_capita,population
Australia,2000,3.464070163,26321.44645,18991434
Australia,2001,3.587667671,27373.45972,19194676
Australia,2002,3.578787049,28718.24108,19401366
Australia,2003,3.673513517,29734.72088,19624163
Australia,2004,3.767925003,31308.21052,19879654
Australia,2005,3.815637892,32575.06925,20178543
Australia,2006,3.705278313,34288.86369,20526300
Australia,2007,3.435874305,36544.88598,20916339
Australia,2008,3.249790199,37459.30765,21332293
Australia,2009,3.093268844,40300.75555,21750852
Australia,2010,2.955120317,39301.34112,22154687
Australia,2011,2.669172141,41965.35842,22538002
Australia,2012,2.399327386,42826.78958,22903951
Australia,2013,2.473743534,45902.04795,23254912
Australia,2014,2.305543922,46880.22066,23596426
Australia,2015,2.362283032,46288.33448,23932499
Australia,2016,2.310203407,47339.96921,24262710
Australia,2017,2.271980018,48482.64746,24584619
