Entity,Year,Deaths,GDP_per_capita,population
Canada,2000,2.727636788,29362.94525,30588379
Canada,2001,2.864513841,30214.09251,30880072
Canada,2002,2.882484418,30963.053,31178260
Canada,2003,2.828468005,32333.48297,31488046
Canada,2004,2.787194329,33911.04368,31815490
Canada,2005,2.841762418,36327.22865,32164313
Canada,2006,2.714729949,38106.35663,32536994
Canada,2007,2.78723154,39555.50098,32930795
Canada,2008,2.634794744,40376.30688,33337638
Canada,2009,2.455146001,38893.72053,33746093
Canada,2010,2.371532231,40114.18959,34147566
Canada,2011,2.178849194,41666.70763,34539156
Canada,2012,2.282874175,42290.96541,34922031
Canada,2013,2.512156719,44298.57873,35296535
Canada,2014,2.406506463,45753.75055,35664338
Canada,2015,2.437582288,44670.08054,36026668
Canada,2016,2.420517394,46472.34025,36382942
Canada,2017,2.348439485,48317.09658,36732091
