Entity,Year,life_satisfaction,GDP_per_capita,population
Australia,2010,7.45,44991.7837148741,22154687
Australia,2011,7.406,45463.6819958564,22538002
Australia,2012,7.196,46427.3681999004,22903951
Australia,2013,7.364,46814.7415105804,23254912
Australia,2014,7.289,47289.9646101072,23596426
Australia,2015,7.309,47636.319641906,23932499
Australia,2016,7.25,48197.431189174,24262710
Australia,2017,7.257,48482.6474614392,24584619
Australia,2018,7.177,49151.6887104846,24898153
Australia,2019,7.234,49455.5385080697,25203200
Canada,2010,7.65,44861.5239641879,34147566
Canada,2011,7.426,45822.5964338567,34539156
Canada,2012,7.415,46126.5138859002,34922031
Canada,2013,7.594,46704.7622355677,35296535
Canada,2014,7.304,47564.609109622,35664338
Canada,2015,7.413,47522.1406673151,36026668
Canada,2016,7.245,47457.5853457244,36382942
Canada,2017,7.415,48317.0965785817,36732091
Canada,2018,7.175,48796.8137814007,37074558
Canada,2019,7.109,49006.7431073981,37411038
China,2010,4.653,8884.58803122605,1368810604
China,2011,5.037,9686.61528974418,1376497633
China,2012,5.095,10397.5614154951,1384206408
China,2013,5.241,11149.8675587707,1391883335
China,2014,5.196,11917.3384959933,1399453966
China,2015,5.304,12691.8215526921,1406847868
China,2016,5.325,13487.8224816787,1414049353
China,2017,5.099,14344.4212394424,1421021794
China,2018,5.131,15242.9858575834,1427647789
China,2019,5.144,16092.300767051,1433783692
Japan,2010,6.057,37586.1671466567,128542349
Japan,2011,6.263,37612.3883122255,128498966
Japan,2012,5.968,38235.7450407572,128423571
Japan,2013,5.959,39056.8698066267,128314189
Japan,2014,5.923,39255.278446443,128168630
Japan,2015,5.88,39777.5310167672,127985139
Japan,2016,5.955,40031.270764058,127763267
Japan,2017,5.911,40966.5932189946,127502728
Japan,2018,5.794,41182.3802046593,127202190
Japan,2019,5.908,41380.0935773113,126860299
Thailand,2010,6.217,14399.0445142977,67195032
Thailand,2011,6.664,14450.4788337362,67518379
Thailand,2012,6.3,15424.5442688037,67835969
Thailand,2013,6.231,15767.3608137962,68144519
Thailand,2014,6.985,15854.1318583817,68438748
Thailand,2015,6.202,16285.3865749723,68714519
Thailand,2016,6.074,16782.0986705337,68971313
Thailand,2017,5.939,17422.9523512059,69209817
Thailand,2018,6.012,18095.7365704368,69428454
Thailand,2019,6.022,18453.4698218155,69625581
United States,2010,7.164,54315.9124805391,309011469
United States,2011,7.115,54758.8332734292,311584051
United States,2012,7.026,55581.4138435205,314043885
United States,2013,7.249,56214.4286771294,316400539
United States,2014,7.151,57213.2678405623,318673422
United States,2015,6.864,58540.2960929977,320878312
United States,2016,6.804,59112.2422096532,323015992
United States,2017,6.992,60109.6557260477,325084758
United States,2018,6.883,61585.7560382102,327096263
United States,2019,6.944,62630.8732765742,329064917
