year,entity,gdp_per_capita,life_satisfaction
2005,Canada,42046.86958,7.418
2007,Canada,45888.47633,7.482
2008,Canada,45851.63025,7.486
2009,Canada,44003.61704,7.488
2010,Canada,44861.52396,7.65
2011,Canada,45822.59643,7.426
2012,Canada,46126.51389,7.415
2013,Canada,46704.76224,7.594
2014,Canada,47564.60911,7.304
2015,Canada,47522.14067,7.413
2016,Canada,47457.58535,7.245
2017,Canada,48317.09658,7.415
2018,Canada,48796.81378,7.175
2019,Canada,49006.74311,7.109
2020,Canada,45856.62563,7.025
