Movie,Username,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Romance,SciFy,Like
"Pirates of the Caribbean: Dead Man's Chest (2006) (Action, Adventure, Fantasy)",seed,1,1,0,0,0,0,1,0,0,1
"Mars Attacks! (1996) (Comedy, SciFy)",seed,0,0,1,0,0,0,0,0,1,0
"Miami Vice (2006) (Action, Crime, Drama)",seed,1,0,0,1,1,0,0,0,0,0
"Predator (1987) (Action, Adventure, SciFy)",seed,1,1,0,0,0,0,0,0,1,1
"The Lord of the Rings: The Return of the King (2003)(Action, Adventure, Drama)",seed,1,1,0,0,1,0,0,0,0,1
"Star Trek III: The Search for Spock (1984) (Action, Adventure, SciFy)",seed,1,1,0,0,0,0,0,0,1,0
"Batman & Robin (1997) (Action, SciFy)",seed,1,0,0,0,0,0,0,0,1,0
"Spider-Man 2 (2004) (Action, Adventure, SciFy)",seed,1,1,0,0,0,0,0,0,1,1
"E.T. the Extra-Terrestrial (1982) (Family, SciFy)",seed,0,0,0,0,0,1,0,0,1,1
"Notting Hill (1999) (Comedy, Drama, Romance)",seed,0,0,1,0,1,0,0,1,0,1
"Big Fish (2003) (Comedy, Drama, Romance)",seed,0,0,1,0,1,0,0,1,0,1
"The Lion King (2019) ( Adventure, Drama)",seed,0,1,0,0,1,0,0,0,0,0
"Isn't It Romantic (2019) (Comedy, Romance)",seed,0,0,1,0,1,0,0,1,0,0
"Crazy Rich Asians (2018) (Comedy, Drama, Romance)",seed,0,0,1,0,1,0,0,1,0,0
"Solo: A Star Wars Story (2018) (Action, Adventure, SciFy)",seed,1,1,0,0,0,0,0,0,0,0
