species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Adelie,Torgersen,39.1,18.7,181,3750
Adelie,Torgersen,39.5,17.4,186,3800
Adelie,Torgersen,40.3,18,195,3250
Adelie,Torgersen,36.7,19.3,193,3450
Adelie,Torgersen,39.3,20.6,190,3650
Adelie,Torgersen,38.9,17.8,181,3625
Adelie,Torgersen,39.2,19.6,195,4675
Adelie,Torgersen,34.1,18.1,193,3475
Adelie,Torgersen,42,20.2,190,4250
Adelie,Torgersen,37.8,17.1,186,3300
Adelie,Torgersen,37.8,17.3,180,3700
Adelie,Torgersen,41.1,17.6,182,3200
Adelie,Torgersen,38.6,21.2,191,3800
Adelie,Torgersen,34.6,21.1,198,4400
Chinstrap,Dream,46.5,17.9,192,3500
Chinstrap,Dream,50,19.5,196,3900
Chinstrap,Dream,51.3,19.2,193,3650
Chinstrap,Dream,45.4,18.7,188,3525
Chinstrap,Dream,52.7,19.8,197,3725
Chinstrap,Dream,45.2,17.8,198,3950
Chinstrap,Dream,46.1,18.2,178,3250
Chinstrap,Dream,51.3,18.2,197,3750
Chinstrap,Dream,46,18.9,195,4150
Chinstrap,Dream,51.3,19.9,198,3700
Chinstrap,Dream,46.6,17.8,193,3800
Chinstrap,Dream,51.7,20.3,194,3775
Chinstrap,Dream,47,17.3,185,3700
Chinstrap,Dream,52,18.1,201,4050
Chinstrap,Dream,45.9,17.1,190,3575
Gentoo,Biscoe,46.1,13.2,211,4500
Gentoo,Biscoe,50,16.3,230,5700
Gentoo,Biscoe,48.7,14.1,210,4450
Gentoo,Biscoe,50,15.2,218,5700
Gentoo,Biscoe,47.6,14.5,215,5400
Gentoo,Biscoe,46.5,13.5,210,4550
Gentoo,Biscoe,45.4,14.6,211,4800
Gentoo,Biscoe,46.7,15.3,219,5200
Gentoo,Biscoe,43.3,13.4,209,4400
Gentoo,Biscoe,46.8,15.4,215,5150
Gentoo,Biscoe,40.9,13.7,214,4650
Gentoo,Biscoe,49,16.1,216,5550
Gentoo,Biscoe,45.5,13.7,214,4650
Gentoo,Biscoe,48.4,14.6,213,5850
Gentoo,Biscoe,45.8,14.6,210,4200
